RequestKey;LookupType;Query;Status;Ico;CompanyName;LegalForm;LegalFormCode;City;Address;IsActive;Candidates;Error;ResolvedUtc;Occurrences;SampleSubject;SampleFolder
realm stav s r o;Name;REALM Stav s.r.o.;Pending;;;;;;;;;;;7;RE: REALM Stav s.r.o., IČ 17242398 ;17242398 REALM Stav s.r.o
sr an markovic architektonicky atelier s r o;Name;Srđan Marković architektonický ateliér s.r.o.;Pending;;;;;;;;;;;10;Fw: Srđan Marković architektonický ateliér s.r.o. 24208701 -dotaz klienta;24208701 SMAA s.r.o
dobsicke testoviny s r o;Name;Dobšické těstoviny s.r.o.;Pending;;;;;;;;;;;3;Re: Dobšické těstoviny s.r.o., IČ 27697797 ;27697797 DOBŠICKÉ TĚSTOVINY s.r.o
74871340;Ico;74871340;Pending;;;;;;;;;;;4;MNDU MK - kupní smlouva k projektovému financování;74871340 MNDU MK s.r.o
mndu mk s r o;Name;MNDU MK s.r.o.;Pending;;;;;;;;;;;4;MNDU MK - kupní smlouva k projektovému financování;74871340 MNDU MK s.r.o
spolecenstvi vlastniku domu ledenicka 497;Name;Společenství vlastníků domu Ledenická 497;Pending;;;;;;;;;;;2;FW: Posouzení Zápisu ze shromáždění Ledenická 497;02264625 Společenství vlastníků domu Ledenická 497, České Budějovice
gelmat czech s r o;Name;GELMAT CZECH s.r.o.;Pending;;;;;;;;;;;3;Fw: dotaz;10687904 CADUCO s.r.o
kontrola dokumentu statek vodnansky s r o;Name;Kontrola dokumentů Statek Vodňanský s.r.o.;Pending;;;;;;;;;;;4;SBERBANK-Fw: Kontrola dokumentů Statek Vodňanský s.r.o. 038124-002;25083325 Sberbank CZ, a.s. v likvidaci
lecebne centrum s r o;Name;LÉČEBNÉ CENTRUM s.r.o.;Pending;;;;;;;;;;;4;Re: LÉČEBNÉ CENTRUM s.r.o.-Fw: CPS: CPS - MSE: výsledek schvalování;03967042 LÉČEBNÉ CENTRUM s.r.o
vas novy byt s r o;Name;Váš Nový Byt s.r.o.;Pending;;;;;;;;;;;7;Fw: Projektové financování na výstavbu 23 bytových jednotek - Váš Nový Byt s.r.o., IČ: 21177155;21177155 Váš Nový Byt s.r.o
a nemovitostni a s;Name;A-Nemovitostní a.s.;Pending;;;;;;;;;;;3;RE: A-Nemovitostní a.s., IČ 19496460;19496460 A-Nemovitostní a.s
bufashion cz s r o;Name;BUfashion.cz s.r.o.;Pending;;;;;;;;;;;1;Dotaz - úvěr č. 660932129;06399835 ALFA manufacture AG s.r.o
dispozice k uctu vinarstvi pfeffer s r o;Name;Dispozice k účtu Vinařství Pfeffer s.r.o.;Pending;;;;;;;;;;;2;Dispozice k účtu Vinařství Pfeffer s.r.o. IČ: 27703550;27703550 Vinařství Pfeffer s.r.o
voracek agro s r o;Name;VORÁČEK AGRO s.r.o.;Pending;;;;;;;;;;;3;Re: VORÁČEK AGRO s.r.o., IČ: 06631096;06631096 VORÁČEK AGRO s.r.o
svj na valech;Name;SVJ Na Valech;Pending;;;;;;;;;;;2;Re: SVJ Na Valech, ič 28864298, verifikace stanov, zápisu ze schůze;28864298 SPOLEČENSTVÍ VLASTNÍKŮ NA VALECH 283-16
elektroprojekce s r o;Name;elektroprojekce s.r.o.;Pending;;;;;;;;;;;9;Fw: Černý Strnad - elektroprojekce s.r.o. 19134894	, případ ID 2076671793;19134894 Černý Strnad - elektroprojekce s.r.o
prosim o konzultaci ke spolecnosti malang s r o;Name;Prosím o konzultaci ke společnosti MALANG s.r.o.;Pending;;;;;;;;;;;3;Re: konzultace;27720993 MALANG s.r.o
mudr hojdikova s r o;Name;MUDr. Hojdíková s.r.o.;Pending;;;;;;;;;;;5;Klient - MUDr. Hojdíková s.r.o., IČ 04140249;04140249 MUDr. Helena Hojdíková s.r.o
lamapro s r o;Name;Lamapro s.r.o.;Pending;;;;;;;;;;;5;Fw: Lamapro s.r.o. ičo 19898177;19898177 LAMAPRO s.r.o
svj dedinova;Name;SVJ Dědinova;Pending;;;;;;;;;;;2;Fwd: SVJ Dědinova, IČ: 75131927 - poznámky ke smlouvám;75131927 Společenství vlastníků jednotek Dědinova 2006-8, Praha 4
bd cihadla s r o;Name;BD Čihadla s.r.o.;Pending;;;;;;;;;;;7;Re: Smlouvy SOSBK - Projekt BD Pod Jezem - final znění vč. všech příloh pro kontrolu;06127801 Bytové domy Čihadla s.r.o
gabostav s r o;Name;Gabostav s.r.o.;Pending;;;;;;;;;;;2;Re:  Gabostav s.r.o.;08885028 Gabostav s.r.o
kontrola dokumentu tachtech s r o;Name;Kontrola dokumentů TACHTECH s.r.o.;Pending;;;;;;;;;;;4;FW: SBERBANK-Fw: Kontrola dokumentů TACHTECH s.r.o. 25031902;25031902 Průmyslové služby Krupka s.r.o
juston a s;Name;JUSTON a.s.;Pending;;;;;;;;;;;3;Re: financování - účel úvěru;07556055 NANOSHIELD s.r.o
pedorin one s r o;Name;Pedorin One s.r.o.;Pending;;;;;;;;;;;3;Fw: Pedorin One s.r.o.,  IČ 10686363,  v CPS 2061094483;10686363 Pedorin One s.r.o
10801499;Ico;10801499;Pending;;;;;;;;;;;2;Společenství vlastníků K Jeslím 444, Semily-Fw: Shromáždění SVJ 444 - zápis;10801499 SVJ 444 - zápis
svj 444 zapis;Name;SVJ 444 - zápis;Pending;;;;;;;;;;;2;Společenství vlastníků K Jeslím 444, Semily-Fw: Shromáždění SVJ 444 - zápis;10801499 SVJ 444 - zápis
janakiev group s r o;Name;Janakiev Group s.r.o.;Pending;;;;;;;;;;;6;Re: KOnzultace k vypořádání kupní ceny Janakiev Group s.r.o. 08342105;08342105 Janakiev Group s.r.o
taka factory s r o;Name;TAKA FACTORY s.r.o.;Pending;;;;;;;;;;;1;Re: Konzultace plné moc TAKA INVEST s.r.o., TAKA FACTORY s.r.o.;48539392 TAKA FACTORY s.r.o
pr s r o;Name;PR s.r.o.;Pending;;;;;;;;;;;2;Pro PR s.r.o.,  IČ: 27552268;27552268 Pro PR s.r.o
jedna se o klienta solid property a s;Name;Jedná se o klienta SOLID PROPERTY a.s.;Pending;;;;;;;;;;;1;Fw: SOLID PROPERTY _ Zápis z valné hromady aval biankosměnky upraveny, Listina přítomných a Potvrzeni dozorčí rady;28198816 SOLID PROPERTY a.s
asphericon s r o;Name;asphericon s.r.o.;Pending;;;;;;;;;;;4;"Fw: asphericon s.r.o., IČ 04670361 - Dotaz k financování s ""existencí"" zahraniční matky (75 %)";04670361 asphericon s.r.o
lchaim s r o;Name;Lchaim s.r.o.;Pending;;;;;;;;;;;4;RE: Lchaim s.r.o., IČ 26776791;26776791 Lchaim s.r.o
pod cz s r o;Name;POD CZ s.r.o.;Pending;;;;;;;;;;;3;Re: Podklady věc poptávky 6.5.2025;07429649 POD CZ s.r.o
spolecenstvi vlastniku jednotek bl 99;Name;Společenství vlastníků jednotek bl. 99;Pending;;;;;;;;;;;1;RE: Znění textace na per rollam - Společenství vlastníků jednotek bl. 99, č.p. 2397, 2398, 2399, tř. Budovatelů, Most IČ 28751477;28751477 Společenství vlastníků jednotek bl. 99, č.p. 2397, 2398, 2399, tř. Budovatelů, Most
svj koliste;Name;SVJ Koliště.;Pending;;;;;;;;;;;2;odnět k přezkumnému řízení;09408355 Společenství vlastníků domu Koliště 49, Brno
gefest auto s r o;Name;Gefest Auto s.r.o.;Pending;;;;;;;;;;;2;Fw: založení účtu - dotaz, IČ 072 06 011, Gefest Auto s.r.o.;07206011 Gefest Auto s.r.o
silmet pribram a s;Name;SILMET Příbram a.s.;Pending;;;;;;;;;;;3;FW: dokumenty Kolín - smlouva o zápůjčce SIlmet a dokumenty z jednání dozorčí rady;17376815 LDM Group - Street Kolín s.r.o
24198005;Ico;24198005;Pending;;;;;;;;;;;4;Fw: CREDO REAL GROUP ;24198005 CREDO REAL GROUP a.s
credo real group a s;Name;CREDO REAL GROUP a.s.;Pending;;;;;;;;;;;4;Fw: CREDO REAL GROUP ;24198005 CREDO REAL GROUP a.s
dvtm s r o;Name;DVTM s.r.o.;Pending;;;;;;;;;;;1;Fw: podmínka čerpání - valná hromada - DVTM s.r.o.;27673383 DVTM s.r.o
galla group s r o;Name;Galla group s.r.o.;Pending;;;;;;;;;;;2;Dotaz;Galla group s.r.o
tcm point s r o;Name;TCM POINT s.r.o.;Pending;;;;;;;;;;;3;Rozštěpení závodu TCM Point;11835761 MyTao s.r.o
jozzby s r o;Name;JOZZBY s.r.o.;Pending;;;;;;;;;;;3;Fw: JOZZBY s.r.o., IČ: 14245299 --- kontrola Kupní smlouvy --- prosím Urgent;14245299 JOZZBY s.r.o
profi tisk group s r o;Name;Profi-tisk group s.r.o.;Pending;;;;;;;;;;;2;Fw: Jiří Kalbáč / 8009-05-13-12.13.29.789902 / CPS ID 2051804541;26868954 Profi-tisk group s.r.o
janteco s r o;Name;Janteco s.r.o.;Pending;;;;;;;;;;;3;RE: Janteco s.r.o.-Fw: Dotaz , prosba ;04496515 Janteco s.r.o
moravianna vinohrady s r o;Name;Moravianna Vinohrady s.r.o.;Pending;;;;;;;;;;;4;Re: Zástavní smlouva ;Moravianna Vinohrady s.r.o
look ever gold s r o;Name;LOOK EVER GOLD s.r.o.;Pending;;;;;;;;;;;11;Re: LOOK EVER GOLD s.r.o., IČ: 06808131;06808131 LOOK EVER GOLD s.r.o
dajan obchodni s r o;Name;DAJAN obchodní s.r.o.;Pending;;;;;;;;;;;3;Re: CRU - správa klientů (zaniklí klienti) - 0800 - nedořešené zaniklé subjekty od 11/2020;60917415 EUC Klinika a.s
esthes spol s r o;Name;ESTHES spol. s r.o.;Pending;;;;;;;;;;;6;Fw: ESTHES spol. s r.o.  , IČ 27729893;27729893 ESTHES spol. s r.o
potraviny predin s r o;Name;Potraviny Předín s.r.o.;Pending;;;;;;;;;;;2;Fw: Zjištěné informace ze schůzky s klientem;26217104 Potraviny Předín s.r.o
cloverleaf group s r o;Name;Cloverleaf group s.r.o.;Pending;;;;;;;;;;;4;Cloverleaf group s.r.o.-Fw: Cloverleaf - korporátní souhlas;05295475 Cloverleaf group s.r.o
svj u lesoparku 739;Name;SVJ U Lesoparku 739;Pending;;;;;;;;;;;1;Dotaz k účelu úvěru pro SVJ U Lesoparku 739;28281101 AZ - fruit, s.r.o
cha ty ratmirov s r o;Name;Cha ty Ratmírov s.r.o.;Pending;;;;;;;;;;;1;Chaty Ratmírov - kupní smlouva + plná moc k posouzení;05272947 Chaty Ratmírov s.r.o
morczinek s r o;Name;Morczinek s.r.o.;Pending;;;;;;;;;;;2;Fw: Jednání za klienta - firmu Morczinek s.r.o., IC 25881370;25881370 Morcinek, s.r.o
freax media group s r o;Name;Freax Media Group s.r.o.;Pending;;;;;;;;;;;3;posouzení znění Rozhodnutí jediného společníka k případu ID 2073705267;24851507 Deditus Group s.r.o
svj c drahlovskeho 871 17;Name;SVJ - Č. Drahlovského 871/17;Pending;;;;;;;;;;;5;SVJ - Č. Drahlovského 871/17 - Smlouva o úvěru - předčasné splacení úvěru;SVJ - Č. Drahlovského 871-17
strange training s r o;Name;Strange Training s.r.o.;Pending;;;;;;;;;;;6;FW: Strange Training s.r.o. ičo: 08268509 - valná hromada;08268509 Strange Training s.r.o
konzultace kovo fritz s r o;Name;Konzultace KOVO FRITZ? s.r.o.;Pending;;;;;;;;;;;7;Re: Konzultace KOVO FRITZ? s.r.o., IČ 28143795;28143795 KOVO FRITZ s.r.o
ulrichova vila s r o;Name;Ulrichova Vila s.r.o.;Pending;;;;;;;;;;;3;Fw: Posouzení SoDo k projektovému financování Ulrichova Vila;22317171 Ulrichova Vila s.r.o
realdata spol s r o;Name;RealData spol. s.r.o.;Pending;;;;;;;;;;;2;FW: prosím o právní posouzení;RealData spol. s.r.o
gemo a s;Name;GEMO a.s.;Pending;;;;;;;;;;;6;Re: GEMO a ESSO Jaromír Uhýrek Group - DOTAZ;GEMO a.s
05088399;Ico;05088399;Pending;;;;;;;;;;;2;Žádost o posouzení plné moci - ChampionBet Group SE;05088399 a.s
venamo s r o;Name;VENAMO s.r.o.;Pending;;;;;;;;;;;3;60730340 VENAMO s.r.o. - zápis z valné hromady;60730340 VENAMO s.r.o
relax valtice s r o;Name;Relax Valtice s.r.o.;Pending;;;;;;;;;;;3;Relax Valtice s.r.o.;27667251 Relax Valtice s.r.o
south moravia apartments s r o;Name;South Moravia Apartments s.r.o.;Pending;;;;;;;;;;;7;South Moravia Apartments s.r.o. IČ: 19404026 ;19404026 South Moravia apartments s.r.o
26108071;Ico;26108071;Pending;;;;;;;;;;;4;Fw: SVJ  tř. 28. října 1307/26 ČB - zápisy ke kontrole;26108071 SVJ tř. 28. října 1307-26 ČB - zápisy ke kontrole
s vision s r o;Name;S-Vision s.r.o.;Pending;;;;;;;;;;;5;FW: S-Vision s.r.o._Fw: ID 2051467065;04474694 S-Vision s.r.o
d3 reality s r o;Name;D3 Reality s.r.o.;Pending;;;;;;;;;;;7;Re: D3 Reality s.r.o. 07832524	2066886133;07832524 D3 Reality s.r.o
posouzeni small property invest s r o;Name;Posouzení Small Property Invest s.r.o.;Pending;;;;;;;;;;;4;Re: Posouzení Small Property Invest s.r.o. 21708673	2074121194 0627439199;21708673 Small Property Invest s.r.o
27659101;Ico;27659101;Pending;;;;;;;;;;;2;Fw: plná moc - Vila Děvín IČ ;27659101 s.r.o
budy pod horou s r o;Name;Budy Pod Horou s.r.o.;Pending;;;;;;;;;;;2;RE: Budy Pod Horou s.r.o. IC 06305598, úvěr 0728952119;06305598 Budy Pod Horou s.r.o
kaja projekt a s;Name;KAJA projekt a.s.;Pending;;;;;;;;;;;3;Fw: KAJA projekt a.s. IČ:260 41 138;26041138 KAJA project a.s
chce toto s r o;Name;Chce toto s.r.o.;Pending;;;;;;;;;;;6;Fw: prodej závodu;Chce toto s.r.o
wash me cz s r o;Name;Wash me CZ s.r.o.;Pending;;;;;;;;;;;4;Re: Wash me CZ s.r.o., IČ 06368557 - podpis směnky s avalem;06368557 Wash Me CZ s.r.o
starstav s r o;Name;STARSTAV s.r.o.;Pending;;;;;;;;;;;3;Re: STARSTAV s.r.o. IČ: 63074419 (smlouva o úvěru se zápočtem);63074419 STARSTAV s.r.o
ceske hory s r o;Name;České hory s.r.o.;Pending;;;;;;;;;;;8;Fw: České hory s.r.o., IČ: 08190721;08190721 České hory s.r.o
axa racing s r o;Name;AXA Racing s.r.o.;Pending;;;;;;;;;;;4;AXA Racing s.r.o., IČ: 19842465;19842465 AXA Racing s.r.o
orna corporation v o s;Name;Orna Corporation v.o.s.;Pending;;;;;;;;;;;2;Re: Tyršova Kladno;46359800 Orna Corporation, v.o.s
farber elektrotechnik s r o;Name;Färber Elektrotechnik s.r.o.;Pending;;;;;;;;;;;2;Fw: Dotaz k pojištění vkladů _ klient: Färber Elektrotechnik s.r.o.;28765362 Färber Elektrotechnik s.r.o
svj okruzni ic 015 827 47 zapis;Name;SVJ Okružní IČ 015 827 47 - zápis;Pending;;;;;;;;;;;3;Re: SVJ Okružní IČ 015 827 47 - zápis;01582747 Společenství vlastníků Okružní 873, Hradec Králové
motorsport24 s r o;Name;Motorsport24 s.r.o.;Pending;;;;;;;;;;;3;Fw: Smlouva o dílo Motorsport24 s.r.o. 08135282 2054547821;08135282 Motorsport24 s.r.o
bautim s r o;Name;BAUTIM s.r.o.;Pending;;;;;;;;;;;7;Interflex, kontrola zápisu valné hromady firmy Bautim;BAUTIM s.r.o
c30 c a vallino s r o;Name;C30 C a vallino s.r.o.;Pending;;;;;;;;;;;3;Fw: Karlštejn financovnání: Dobroslava Kožíšková;25732820 Cavallino s.r.o
svj jako pojistnik a adway jako vlastnik da souhlas s;Name;SVJ jako pojistník a Adway jako vlastník dá souhlas. S;Pending;;;;;;;;;;;2;Pojistná smlouva Adway cps. 2079190371;SVJ jako pojistník a Adway jako vlastník dá souhlas. S
spolecenstvi vlastniku jednotek domu cp 260;Name;Společenství vlastníků jednotek domu čp. 260;Pending;;;;;;;;;;;3;kontrola zápisu Společenství vlastníků jednotek domu čp. 260, Jistebnice, IČ 28101138;28101138 Společenství vlastníků jednotek domu č.p. 260, Jistebnice
04473477;Ico;04473477;Pending;;;;;;;;;;;2;Fw: PBH Sláma CLUID 2002-11-07-23.33.39.344784;04473477 REALITY GROUP ALFA a.s
reality group alfa a s;Name;REALITY GROUP ALFA a.s.;Pending;;;;;;;;;;;2;Fw: PBH Sláma CLUID 2002-11-07-23.33.39.344784;04473477 REALITY GROUP ALFA a.s
bonus dental s r o;Name;Bonus Dental s.r.o.;Pending;;;;;;;;;;;3;Re: klient: Bonus Dental s.r.o., IČO 08314608, ID požadavku 2053490512;08314608 Bonus Dental s.r.o
adelinex invest a s;Name;ADELINEX Invest a.s.;Pending;;;;;;;;;;;2;RE: ADELINEX Invest a.s. - IČ 03887995 - Rozhodnutí jediného akcionáře;03887995 ADELINEX Invest a.s
uspory energii ve spolecnosti zahradnictvi stastny spol s r o;Name;Úspory energií ve společnosti Zahradnictví Šťastný spol. s r.o.;Pending;;;;;;;;;;;3;"Fw: 2044013948 _ Zahradnictví Šťastný spol. s r. o. _ úvěr 0608799199 _ ""Projekt"" _ Úspory energií ve společnosti Zahradnictví Šťastný spol. s r.o.";06477364 Zahradnictví Šťastný spol. s r. o
grocholovou z cs a s;Name;Grocholovou z ČS a.s.;Pending;;;;;;;;;;;2;Fw: koncept sdružené smlouvy kupní;04769881 Mgr. VÍT FEBER, advokát
svj nebo i majitelu jednotek prislusneho svj;Name;SVJ nebo i majitelů jednotek příslušného SVJ);Pending;;;;;;;;;;;1;Re: Úvěrová smlouva - SVJ;SVJ nebo i majitelů jednotek příslušného SVJ)
prosperity kv s r o;Name;Prosperity KV s.r.o.;Pending;;;;;;;;;;;1;Re: Prosperity KV - kupní smlouva/ podřízení ;02687178 PROJEKT-CONSTRUCT s.r.o
eko les rekultivacni s r o;Name;Eko-les rekultivační s.r.o.;Pending;;;;;;;;;;;3;Urgence - chyba ČS - Eko-les rekultivační s.r.o., IČ 26043173, č.úvěru 	729552109/0800;26043173 Eko-les rekultivační, s.r.o
spolecenstvi vlastniku glennova 2703 1;Name;Společenství vlastníků Glennova 2703/1;Pending;;;;;;;;;;;6;Re: Fw: Společenství vlastníků Glennova 2703/1,2704/3,2705/5, IČ 25442295 - 3. část;25442295 Společenství vlastníků Glennova 2703-1,2704-3,2705-5
spolecenstvi vlastniku jednotek jugoslavska 2815;Name;Společenství vlastníků jednotek Jugoslávská 2815;Pending;;;;;;;;;;;1;Re: Společenství vlastníků jednotek Jugoslávská 2815, IČ: 11922699;11922699 Společenství vlastníků Jugoslávská 2815, 2816
prosba ohledne smluv likrem s r o;Name;Prosba ohledně smluv LIKREM s.r.o.;Pending;;;;;;;;;;;1;Re: Prosba ohledně smluv LIKREM s.r.o. - IČ 46712747 - obnova KTK novou smluvní dokumentací;46712747 LIKREM s.r.o
asas invest a s;Name;ASAS Invest a.s.;Pending;;;;;;;;;;;5;Fw: ASAS Invest - prodej společnosti;03880966 ASAS Invest a.s
zadatel horizon fuel cell europe s r o;Name;Žadatel Horizon Fuel Cell Europe s.r.o.;Pending;;;;;;;;;;;3;Fw: OPS Posouzení avalu na směnce klient Žadatel Horizon Fuel Cell Europe s.r.o. RČ/IČ 24840220;24840220 Horizon Fuel Cell Europe s.r.o
citen s r o;Name;CITEN s.r.o.;Pending;;;;;;;;;;;3;CITEN s.r.o., IČ 25595253 - klient migrovaný ze Sberban - KTK (vykrývací úvěr);25595253 CITEN s.r.o
konzultace pripadu palazzio stavebni s r o;Name;Konzultace případu Palazzio Stavební s.r.o.;Pending;;;;;;;;;;;2;Re: Konzultace případu Palazzio Stavební s.r.o., IČ 24702226 - rozdělení nemovitosti;24702226 Palazzio stavební s.r.o
d d cv1720 s r o;Name;D-D CV1720 s.r.o.;Pending;;;;;;;;;;;3;Re: Dotaz firma D-D CV1720 s.r.o., IČO:  25495615;25495615 D-D CV1720 s.r.o
flenexa plus s r o;Name;Flenexa plus s.r.o.;Pending;;;;;;;;;;;3;RE: Flenexa Plus s.r.o-Fw: Právní posouzení návrhu Dohody;24741621 Flenexa plus s.r.o
jakonstav s r o;Name;JAKonstav s.r.o.;Pending;;;;;;;;;;;1;JAKonstav s.r.o-Fw: Žádost o kontrolu návrhu rozhodnutí jediného společníka - podmínka čerpání;01748432 AGRO Development s.r.o
svj odjizdi do zahranici a potrebuji provest cerpani;Name;SVJ odjíždí do zahraničí a potřebují provést čerpání.;Pending;;;;;;;;;;;1;Urgence žádosti ID 2069911255;01711440 Společenství vlastníků Na Petříně 234, Kolín II
svj x bd stavebni bytove druzstvo decin ic 0004172;Name;SVJ x BD   STAVEBNÍ BYTOVÉ DRUŽSTVO DĚČÍN  IČ: 0004172;Pending;;;;;;;;;;;3;Dotaz na možnost převzetí úvěru   SVJ x BD   STAVEBNÍ BYTOVÉ DRUŽSTVO DĚČÍN  IČ: 00041726 ;00041726 STAVEBNÍ BYTOVÉ DRUŽSTVO DĚČÍN
services s r o;Name;Services s.r.o.;Pending;;;;;;;;;;;4;Fw: MC Systems & Services s.r.o., IČ 28252063;28252063 MC Systems & Services s.r.o
chirurgie s r o;Name;CHIRURGIE s.r.o.;Pending;;;;;;;;;;;5;Re: ID žádosti 2053342198,  ANGIO - CHIRURGIE s.r.o.;06196306 ANGIO - CHIRURGIE s.r.o
projekt premeny spolecnosti brackels limited s r o;Name;Projekt přeměny společnosti BRACKELS LIMITED s.r.o.;Pending;;;;;;;;;;;4;Konzultace  k:  Projekt přeměny společnosti BRACKELS LIMITED s.r.o., IČ 26488191;26488191 BRACKELS LIMITED s.r.o
rezidence na plachte s r o;Name;Rezidence Na Plachtě s.r.o.;Pending;;;;;;;;;;;1;Re: Odsouhlasení vypuštění podmínky Korporátního souhlasu;28252161 Rezidence Na Plachtě s.r.o
a a s;Name;A a.s.;Pending;;;;;;;;;;;1;koncept KS klient CLUID  8021-02-28-06.01.25.360270;26222230 SYNOT - A a.s
spolecnosti poskytnout ve prospech ceske sporitelny a s;Name;Společnosti poskytnout ve prospěch České spořitelny a.s.;Pending;;;;;;;;;;;5;AMME Projekt s.r.o-Fw: Rozhodnutí jediného společníka;06381332 AMME Projekt s.r.o
29310971;Ico;29310971;Pending;;;;;;;;;;;2;Fw: Rezidence F.N. s.r.o. - smluvní dokumentace k posouzení. ŽÁDOST/prosba;29310971 Rezidence F.N. s.r.o
rs vision s r o;Name;RS Vision s.r.o.;Pending;;;;;;;;;;;2;Fw: RS Vision s.r.o. : SMART: Notifikace o přidělení úkolu Doplnění požadavku;07127707 RV Electronic s.r.o
tobias real s r o;Name;Tobiáš real s.r.o.;Pending;;;;;;;;;;;6;Re: smlouva o půjčce - Tobiáš real s.r.o., IČ/: 23037016;23037016 Tobiáš real s.r.o
bladent nmnm s r o;Name;Bladent NMNM s.r.o.;Pending;;;;;;;;;;;1;Fw: zákonné štěpení Bladent NMNM s.r.o., IČ 29307074;29307074 Bladent NMNM s.r.o
svj trebizskeho 382 pisek;Name;SVJ Třebízského 382 Písek;Pending;;;;;;;;;;;3;FW: Kontrola zápisu SVJ Třebízského 382 Písek, Č 26105900;26105900 Společenství vlastníků jednotek domu č.p. 382 v Třebízského ulici v Písku
svj na takovou akci malo penez tak uvazuji o tom;Name;SVJ na takovou akci málo peněz. Tak uvažují o tom;Pending;;;;;;;;;;;2;Fw: prosba - dotaz;SVJ na takovou akci málo peněz. Tak uvažují o tom
jd rezidence s r o;Name;JD Rezidence s.r.o.;Pending;;;;;;;;;;;4;Re: JD Rezidence s.r.o.  IČ 09882383  - Projektové financování - PRODEJ;09882383 JD Rezidence s.r.o
svj pardubice;Name;SVJ Pardubice;Pending;;;;;;;;;;;5;Re: IČ 25967860, SVJ Pardubice, Žel.Pluku2046.;25967860 Společenství vlastníků jednotek v domě čp. 2046 ulice Železničního pluku v Pardubicích
28087925;Ico;28087925;Pending;;;;;;;;;;;5;Fw: Posouzení kupní smlouvy - SERVICE CAR ASSISTANCE s.r.o.;28087925 SERVICE CAR ASSISTANCE s.r.o
svj 447 448 449 iii sobeslav ic 26101378;Name;SVJ 447-448-449/III Soběslav - IČ 26101378;Pending;;;;;;;;;;;3;Zápis SVJ 447-448-449/III Soběslav - IČ 26101378;26101378 Společenství vlastníků jednotek domu čp. 447-448-449-III Soběslav
parketarna byty s r o;Name;Parketárna byty s.r.o.;Pending;;;;;;;;;;;3;Fw: Parketárna byty s.r.o. IČ: 05029741;05029741 Parketárna byty s.r.o
20220219;Ico;20220219;Pending;;;;;;;;;;;1;úprava šablony: Žádost o úvěr - pro el. podepisování vícestatutárů;20220219 a.s
proflooring s r o;Name;ProFlooring s.r.o.;Pending;;;;;;;;;;;4;Fw: ProFlooring s.r.o. ič: 24748064 - dodatek k hypo č. 496517109;24748064 ProFlooring s.r.o
j plus s s r o;Name;J plus S s.r.o.;Pending;;;;;;;;;;;2;Dotaz  ke klientovi 9008-07-19-04.24.46.791191;25404750 J plus S s.r.o
spolecenstvi vlastniku josefa suka 1592;Name;Společenství vlastníků, Josefa Suka 1592;Pending;;;;;;;;;;;2;Re: Změna úrokové sazby - námitka k Vašemu stanovisku;28739001 Společenství vlastníků, Josefa Suka 1592, Most
11700009;Ico;11700009;Pending;;;;;;;;;;;1;Fw: SC0000000065808878 - zástava/omezení převodu;11700009 a.s
18009158;Ico;18009158;Pending;;;;;;;;;;;2;Fw: Plná moc-Medexy založení účtu;18009158 MEDEXY s.r.o
medexy s r o;Name;MEDEXY s.r.o.;Pending;;;;;;;;;;;2;Fw: Plná moc-Medexy založení účtu;18009158 MEDEXY s.r.o
svj v rejstriku svj;Name;SVJ v rejstříku SVJ;Pending;;;;;;;;;;;4;FW: Zápis ze schůze SVJ;SVJ v rejstříku SVJ
senior haus vacov s r o;Name;Senior haus Vacov s.r.o.;Pending;;;;;;;;;;;3;Fw: Senior haus Vacov s.r.o., IČ: 05890900;05890900 Senior haus Vacov s.r.o
idcm s r o;Name;IDCM s.r.o.;Pending;;;;;;;;;;;7;Fw: Termínovník - IDCM s.r.o. (10666630) - 0660926159;10666630 IDCM s.r.o
ikomplet s r o;Name;Ikomplet s.r.o.;Pending;;;;;;;;;;;3;Re: Ikomplet s.r.o. IČ:  25820761 - odsouhlasení návrhů  znění zápisů z valných hromad (podmínka čerpání) ;25820761 iKOMPLET s.r.o
svj ico 26276704;Name;SVJ ičo: 26276704;Pending;;;;;;;;;;;4;Fw: Dotaz SVJ ičo: 26276704;26276704 Společenství vlastníků jednotek bytového domu Rubanice 204, Strání
carter reproplus s r o;Name;Carter\ reproplus s.r.o.;Pending;;;;;;;;;;;4;Fw: Dotaz Urgent - Carter Reproplus / Bontia - příslib ;Carter- reproplus s.r.o
spolecenstvi vlastniku domu pozvankou ze 6 5 2024 s timto programem schuzi spol;Name;společenství vlastníků domu pozvánkou ze  6.5.2024 s tímto programem Schůzi spol;Pending;;;;;;;;;;;3;Fw: Arlet Jindřich ostrava ZÁPIS ZE SHROMÁŽDĚNÍ UPRAVŠENÝ PODLE PŘIPOMÍNEK PRÁVNÍHO ODD ČS;25870769 Společenství vlastníků jednotek obytného domu č.p. 1512-1, Ostrava - Zábřeh
gentlemen s group s r o;Name;Gentlemen´s Group s.r.o.;Pending;;;;;;;;;;;4;"Kupní smlouva ; Gentlemen´s Group s.r.o. - 04985311";04985311 Gentlemen´s Group s.r.o
spolecenstvi vlastniku do doby zrizeni uctu spolecenstvi vlastniku jednotek na;Name;společenství vlastníků (do doby zřízení účtu společenství vlastníků jednotek na;Pending;;;;;;;;;;;2;Fw: FW: nové LV Na Čečeličce 4   [#16/2021];07218532 FLY PROJECT 1, s.r.o
invest king pd s r o;Name;INVEST KING PD s.r.o.;Pending;;;;;;;;;;;2;Re: žádost o součinnost;02702177 INVEST KING s.r.o
